"","index","input_gene","ortholog_gene"
"HMGB3",60,"HMGB3","HMGB3"
"DMD",61,"DMD","DMD"
"IKBKG",63,"IKBKG","IKBKG"
"VMA21",66,"VMA21","VMA21"
"DOCK11",67,"DOCK11","DOCK11"
"ZMAT1",68,"ZMAT1","ZMAT1"
"TBC1D25",71,"TBC1D25","TBC1D25"
"WDR13",76,"WDR13","WDR13"
"IL13RA1",77,"IL13RA1","IL13RA1"
"WAS",79,"WAS","WAS"
"LONRF3",80,"LONRF3","LONRF3"
"SUV39H1",81,"SUV39H1","SUV39H1"
"DKC1",83,"DKC1","DKC1"
"FGD1",85,"FGD1","FGD1"
"ARMCX5",86,"ARMCX5","ARMCX5"
"MPP1",87,"MPP1","MPP1"
"PCSK1N",88,"PCSK1N","PCSK1N"
"GPRASP1",89,"GPRASP1","GPRASP1"
"GLOD5",90,"GLOD5","GLOD5"
"GATA1",92,"GATA1","GATA1"
"MAGED2",93,"MAGED2","MAGED2"
"HDAC6",94,"HDAC6","HDAC6"
"GPRASP2",95,"GPRASP2","GPRASP2"
"GABRQ",96,"GABRQ","GABRQ"
"NSDHL",98,"NSDHL","NSDHL"
"SLC35A2",100,"SLC35A2","SLC35A2"
"PGRMC1",102,"PGRMC1","PGRMC1"
"NXT2",104,"NXT2","NXT2"
"F8",106,"F8","F8"
"TCEAL1",107,"TCEAL1","TCEAL1"
"SLC25A43",108,"SLC25A43","SLC25A43"
"MORF4L2",109,"MORF4L2","MORF4L2"
"SLC25A5",110,"SLC25A5","SLC25A5"
"UBE2A",112,"UBE2A","UBE2A"
"LANCL3",114,"LANCL3","LANCL3"
"STEEP1",115,"STEEP1","STEEP1"
"ACSL4",116,"ACSL4","ACSL4"
"APEX2",117,"APEX2","APEX2"
"NKRF",123,"NKRF","NKRF"
"ALAS2",125,"ALAS2","ALAS2"
"RRAGB",128,"RRAGB","RRAGB"
"FAM199X",130,"FAM199X","FAM199X"
"SEPTIN6",133,"SEPTIN6","SEPTIN6"
"PQBP1",134,"PQBP1","PQBP1"
"TMEM164",135,"TMEM164","TMEM164"
"DYNLT3",136,"DYNLT3","DYNLT3"
"AMMECR1",138,"AMMECR1","AMMECR1"
"VBP1",139,"VBP1","VBP1"
"UPF3B",141,"UPF3B","UPF3B"
"RPGR",142,"RPGR","RPGR"
"PIM2",143,"PIM2","PIM2"
"OTUD5",149,"OTUD5","OTUD5"
"RAB39B",150,"RAB39B","RAB39B"
"ARHGEF9",153,"ARHGEF9","ARHGEF9"
"CLIC2",154,"CLIC2","CLIC2"
"NKAP",155,"NKAP","NKAP"
"TMLHE",156,"TMLHE","TMLHE"
"VAMP7",157,"VAMP7","VAMP7"
"HAUS7",159,"HAUS7","HAUS7"
"GRIPAP1",160,"GRIPAP1","GRIPAP1"
"PAK3",161,"PAK3","PAK3"
"ZBTB33",163,"ZBTB33","ZBTB33"
"TMEM255A",164,"TMEM255A","TMEM255A"
"INTS6L",166,"INTS6L","INTS6L"
"TFE3",167,"TFE3","TFE3"
"ZC4H2",168,"ZC4H2","ZC4H2"
"CCDC120",169,"CCDC120","CCDC120"
"CCNQ",170,"CCNQ","CCNQ"
"LAS1L",171,"LAS1L","LAS1L"
"LAMP2",172,"LAMP2","LAMP2"
"WDR45",173,"WDR45","WDR45"
"CUL4B",174,"CUL4B","CUL4B"
"MCTS1",175,"MCTS1","MCTS1"
"C1GALT1C1",176,"C1GALT1C1","C1GALT1C1"
"ASB9",180,"ASB9","ASB9"
"DHRSX",182,"DHRSX","DHRSX"
"MSN",183,"MSN","MSN"
"LPAR4",185,"LPAR4","LPAR4"
"ZBED1",186,"ZBED1","ZBED1"
"ASB11",189,"ASB11","ASB11"
"BCAP31",191,"BCAP31","BCAP31"
"SLC9A6",192,"SLC9A6","SLC9A6"
"P2RY10",193,"P2RY10","P2RY10"
"XG",194,"XG","XG"
"FAM155B",195,"FAM155B","NALF2"
"PRICKLE3",197,"PRICKLE3","PRICKLE3"
"THOC2",198,"THOC2","THOC2"
"MID1IP1",199,"MID1IP1","MID1IP1"
"VSIG4",200,"VSIG4","VSIG4"
"ABCD1",201,"ABCD1","ABCD1"
"BCOR",202,"BCOR","BCOR"
"SYP",204,"SYP","SYP"
"PLXNB3",205,"PLXNB3","PLXNB3"
"XIAP",208,"XIAP","XIAP"
"BRWD3",209,"BRWD3","BRWD3"
"STAG2",210,"STAG2","STAG2"
"ATP6AP2",211,"ATP6AP2","ATP6AP2"
"PRKX",215,"PRKX","PRKX"
"CXHXorf38",220,"CXHXorf38","CXorf38"
"SH3BGRL",223,"SH3BGRL","SH3BGRL"
"MED14",226,"MED14","MED14"
"VEGFD",227,"VEGFD","VEGFD"
"AR",229,"AR","AR"
"PPP2R3B",230,"PPP2R3B","PPP2R3B"
"SH2D1A",231,"SH2D1A","SH2D1A"
"FHL1",232,"FHL1","FHL1"
"PIR",233,"PIR","PIR"
"TENM1",234,"TENM1","TENM1"
"GTPBP6",235,"GTPBP6","GTPBP6"
"BMX",236,"BMX","BMX"
"PDZD11",237,"PDZD11","PDZD11"
"OPHN1",238,"OPHN1","OPHN1"
"YIPF6",240,"YIPF6","YIPF6"
"KIF4A",241,"KIF4A","KIF4A"
"LRCH2",242,"LRCH2","LRCH2"
"STARD8",243,"STARD8","STARD8"
"MAP7D3",244,"MAP7D3","MAP7D3"
"CRLF2",245,"CRLF2","CRLF2"
"CSF2RA",246,"CSF2RA","CSF2RA"
"GDPD2",248,"GDPD2","GDPD2"
"IL3RA",249,"IL3RA","IL3RA"
"PUDP",251,"PUDP","PUDP"
"SLC25A6",252,"SLC25A6","SLC25A6"
"STS",254,"STS","STS"
"PNPLA4",255,"PNPLA4","PNPLA4"
"CA5B",257,"CA5B","CA5B"
"ASMTL",263,"ASMTL","ASMTL"
"EFNB1",264,"EFNB1","EFNB1"
"TEX11",265,"TEX11","TEX11"
"OCRL",266,"OCRL","OCRL"
"IDH3G",267,"IDH3G","IDH3G"
"AP1S2",268,"AP1S2","AP1S2"
"ANOS1",269,"ANOS1","ANOS1"
"HTATSF1",271,"HTATSF1","HTATSF1"
"APOOL",272,"APOOL","APOOL"
"SSR4",274,"SSR4","SSR4"
"PDZD4",276,"PDZD4","PDZD4"
"L1CAM",277,"L1CAM","L1CAM"
"FOXO4",278,"FOXO4","FOXO4"
"NAA10",281,"NAA10","NAA10"
"IL2RG",282,"IL2RG","IL2RG"
"AVPR2",283,"AVPR2","AVPR2"
"ARHGAP4",284,"ARHGAP4","ARHGAP4"
"CCDC22",286,"CCDC22","CCDC22"
"FOXP3",287,"FOXP3","FOXP3"
"PPP1R3F",288,"PPP1R3F","PPP1R3F"
"SASH3",291,"SASH3","SASH3"
"ZDHHC9",294,"ZDHHC9","ZDHHC9"
"ZNF711",295,"ZNF711","ZNF711"
"ZMYM3",296,"ZMYM3","ZMYM3"
"HCFC1",297,"HCFC1","HCFC1"
"CTPS2",298,"CTPS2","CTPS2"
"DDX3X",299,"DDX3X","DDX3X"
"CD40LG",300,"CD40LG","CD40LG"
"ARHGEF6",301,"ARHGEF6","ARHGEF6"
"NONO",303,"NONO","NONO"
"CLCN5",304,"CLCN5","CLCN5"
"SYAP1",305,"SYAP1","SYAP1"
"BCORL1",306,"BCORL1","BCORL1"
"IRAK1",307,"IRAK1","IRAK1"
"ITGB1BP2",308,"ITGB1BP2","ITGB1BP2"
"TXLNG",309,"TXLNG","TXLNG"
"MECP2",312,"MECP2","MECP2"
"CHM",314,"CHM","CHM"
"ELF4",315,"ELF4","ELF4"
"CLCN4",316,"CLCN4","CLCN4"
"REPS2",318,"REPS2","REPS2"
"AIFM1",320,"AIFM1","AIFM1"
"NYX",322,"NYX","NYX"
"CCNB3",323,"CCNB3","CCNB3"
"CASK",324,"CASK","CASK"
"ZNF280C",325,"ZNF280C","ZNF280C"
"HCCS",327,"HCCS","HCCS"
"SLC25A14",328,"SLC25A14","SLC25A14"
"ARHGAP6",329,"ARHGAP6","ARHGAP6"
"MSL3",331,"MSL3","MSL3"
"RBMX2",332,"RBMX2","RBMX2"
"KLHL4",336,"KLHL4","KLHL4"
"ENOX2",337,"ENOX2","ENOX2"
"GSPT2",340,"GSPT2","GSPT2"
"SCML2",342,"SCML2","SCML2"
"DIAPH2",343,"DIAPH2","DIAPH2"
"CDKL5",345,"CDKL5","CDKL5"
"RS1",347,"RS1","RS1"
"MAOA",351,"MAOA","MAOA"
"STK26",352,"STK26","STK26"
"PPEF1",353,"PPEF1","PPEF1"
"OGT",354,"OGT","OGT"
"IQSEC2",355,"IQSEC2","IQSEC2"
"TSPAN6",356,"TSPAN6","TSPAN6"
"PHKA2",357,"PHKA2","PHKA2"
"RAP2C",358,"RAP2C","RAP2C"
"GCNA",359,"GCNA","GCNA"
"SYTL4",360,"SYTL4","SYTL4"
"CXCR3",361,"CXCR3","CXCR3"
"MBNL3",362,"MBNL3","MBNL3"
"KDM5C",363,"KDM5C","KDM5D"
"NHSL2",364,"NHSL2","NHSL2"
"RPS4X",365,"RPS4X","RPS4X"
"EFHC2",366,"EFHC2","EFHC2"
"GPC4",367,"GPC4","GPC4"
"GPC3",368,"GPC3","GPC3"
"FUNDC1",369,"FUNDC1","FUNDC1"
"ERCC6L",371,"ERCC6L","ERCC6L"
"HDAC8",372,"HDAC8","HDAC8"
"PHKA1",373,"PHKA1","PHKA1"
"TSPYL2",374,"TSPYL2","TSPYL2"
"PHF6",375,"PHF6","PHF6"
"PRPS2",376,"PRPS2","PRPS2"
"PDHA1",377,"PDHA1","PDHA1"
"CSTF2",378,"CSTF2","CSTF2"
"KDM6A",379,"KDM6A","KDM6A"
"HPRT1",380,"HPRT1","HPRT1"
"TLR7",381,"TLR7","TLR7"
"CHIC1",382,"CHIC1","CHIC1"
"MAP3K15",383,"MAP3K15","MAP3K15"
"SH3KBP1",384,"SH3KBP1","SH3KBP1"
"BCLAF3",386,"BCLAF3","BCLAF3"
"MAP7D2",387,"MAP7D2","MAP7D2"
"PABIR2",388,"PABIR2","PABIR2"
"PABIR3",390,"PABIR3","PABIR3"
"XKRX",392,"XKRX","XKRX"
"EGFL6",393,"EGFL6","EGFL6"
"MOSPD1",394,"MOSPD1","MOSPD1"
"TCEANC",395,"TCEANC","TCEANC"
"RAB9A",396,"RAB9A","RAB9A"
"RPS6KA3",397,"RPS6KA3","RPS6KA3"
"RLIM",401,"RLIM","RLIM"
"CHST7",404,"CHST7","CHST7"
"ZNF75D",405,"ZNF75D","ZNF75D"
"ATP11C",406,"ATP11C","ATP11C"
"SLC9A7",407,"SLC9A7","SLC9A7"
"OFD1",408,"OFD1","OFD1"
"ABCB7",409,"ABCB7","ABCB7"
"ZNF449",411,"ZNF449","ZNF449"
"RP2",412,"RP2","RP2"
"JADE3",413,"JADE3","JADE3"
"NDUFB11",414,"NDUFB11","NDUFB11"
"UPRT",415,"UPRT","UPRT"
"ZDHHC15",417,"ZDHHC15","ZDHHC15"
"RBM10",418,"RBM10","RBM10"
"MAGEE2",419,"MAGEE2","MAGEE2"
"EIF1AX",422,"EIF1AX","EIF1AX"
"UBA1",423,"UBA1","UBA1"
"GPM6B",424,"GPM6B","GPM6B"
"FGF16",429,"FGF16","FGF16"
"USP11",430,"USP11","USP11"
"FANCB",431,"FANCB","FANCB"
"ATRX",432,"ATRX","ATRX"
"MOSPD2",433,"MOSPD2","MOSPD2"
"MAGT1",436,"MAGT1","MAGT1"
"FMR1",439,"FMR1","FMR1"
"ATP7A",440,"ATP7A","ATP7A"
"TAF9B",442,"TAF9B","TAF9B"
"CYSLTR1",443,"CYSLTR1","CYSLTR1"
"MBTPS2",445,"MBTPS2","MBTPS2"
"PHEX",447,"PHEX","PHEX"
"PRDX4",449,"PRDX4","PRDX4"
"ACOT9",450,"ACOT9","ACOT9"
"SAT1",451,"SAT1","SAT1"
"CXHXorf58",453,"CXHXorf58","CXorf58"
"KLHL15",454,"KLHL15","KLHL15"
"PDK3",457,"PDK3","PDK3"
"POLA1",458,"POLA1","POLA1"
"ZFP30",460,"ZFP30","ZFP30"
"ZNF793",461,"ZNF793","ZNF793"
"ZNF829",464,"ZNF829","ZNF829"
"NARS1",466,"NARS1","NARS1"
"UBE2S",467,"UBE2S","UBE2S"
"ZFAND5",468,"ZFAND5","ZFAND5"
"SMOC2",469,"SMOC2","SMOC2"
"AGTPBP1",470,"AGTPBP1","AGTPBP1"
"MYB",471,"MYB","MYB"
"TMEM238",472,"TMEM238","TMEM238"
"RNF146",473,"RNF146","RNF146"
"FECH",474,"FECH","FECH"
"PPP2R1A",476,"PPP2R1A","PPP2R1A"
"ECHDC1",477,"ECHDC1","ECHDC1"
"ZFP14",478,"ZFP14","ZFP14"
"ZFP82",479,"ZFP82","ZFP82"
"KMT5C",480,"KMT5C","KMT5C"
"SOCS6",481,"SOCS6","SOCS6"
"WDR7",482,"WDR7","WDR7"
"NTRK2",484,"NTRK2","NTRK2"
"TMEM150B",485,"TMEM150B","TMEM150B"
"C1H9orf85",486,"C1H9orf85","C9orf85"
"RTTN",487,"RTTN","RTTN"
"ABHD17B",488,"ABHD17B","ABHD17B"
"CEMIP2",489,"CEMIP2","CEMIP2"
"ZNF382",491,"ZNF382","ZNF382"
"AHI1",493,"AHI1","AHI1"
"ZNF461",494,"ZNF461","ZNF461"
"WDR27",495,"WDR27","WDR27"
"ZNF567",498,"ZNF567","ZNF567"
"SLC28A3",499,"SLC28A3","SLC28A3"
"TXNL1",500,"TXNL1","TXNL1"
"CD226",501,"CD226","CD226"
"THEMIS",502,"THEMIS","THEMIS"
"PDE7B",503,"PDE7B","PDE7B"
"ZNF146",504,"ZNF146","ZNF146"
"PTPRK",505,"PTPRK","PTPRK"
"ZNF565",506,"ZNF565","ZNF565"
"DSE",508,"DSE","DSE"
"COX7A1",511,"COX7A1","COX7A1"
"TMX3",513,"TMX3","TMX3"
"MTFR2",515,"MTFR2","MTFR2"
"HNRNPK",516,"HNRNPK","HNRNPK"
"CAPNS1",517,"CAPNS1","CAPNS1"
"BCLAF1",518,"BCLAF1","BCLAF1"
"HSPBP1",519,"HSPBP1","HSPBP1"
"CALHM6",524,"CALHM6","CALHM6"
"C1H9orf64",526,"C1H9orf64","QNG1"
"TRAPPC3L",527,"TRAPPC3L","TRAPPC3L"
"TCF4",528,"TCF4","TCF4"
"TBCB",529,"TBCB","TBCB"
"KIF27",530,"KIF27","KIF27"
"TMEM86B",531,"TMEM86B","TMEM86B"
"SPACA6",532,"SPACA6","SPACA6"
"CALHM5",533,"CALHM5","CALHM5"
"POLR2I",538,"POLR2I","POLR2I"
"ADNP2",540,"ADNP2","ADNP2"
"RWDD1",541,"RWDD1","RWDD1"
"MAP7",542,"MAP7","MAP7"
"SERPINB8",545,"SERPINB8","SERPINB8"
"TXNL4A",546,"TXNL4A","TXNL4A"
"WDR62",547,"WDR62","WDR62"
"SERPINB10",548,"SERPINB10","SERPINB10"
"ARHGAP18",549,"ARHGAP18","ARHGAP18"
"SERPINB2",550,"SERPINB2","SERPINB2"
"ZNF175",551,"ZNF175","ZNF175"
"SLC66A2",554,"SLC66A2","SLC66A2"
"GKAP1",556,"GKAP1","GKAP1"
"CTDP1",558,"CTDP1","CTDP1"
"ZUP1",560,"ZUP1","ZUP1"
"L3MBTL3",561,"L3MBTL3","L3MBTL3"
"UBQLN1",562,"UBQLN1","UBQLN1"
"MAP3K5",563,"MAP3K5","MAP3K5"
"KPNA5",564,"KPNA5","KPNA5"
"IDNK",565,"IDNK","IDNK"
"PEX7",567,"PEX7","PEX7"
"THAP8",568,"THAP8","THAP8"
"ETFB",569,"ETFB","ETFB"
"DNAAF3",570,"DNAAF3","DNAAF3"
"CLIP3",571,"CLIP3","CLIP3"
"VPS4B",572,"VPS4B","VPS4B"
"VSIG10L",574,"VSIG10L","VSIG10L"
"PPP1R12C",576,"PPP1R12C","PPP1R12C"
"IL22RA2",577,"IL22RA2","IL22RA2"
"NFATC1",581,"NFATC1","NFATC1"
"IFNGR1",582,"IFNGR1","IFNGR1"
"KDSR",584,"KDSR","KDSR"
"EPB41L2",585,"EPB41L2","EPB41L2"
"TNFAIP3",586,"TNFAIP3","TNFAIP3"
"VGLL2",587,"VGLL2","VGLL2"
"RDH13",588,"RDH13","RDH13"
"ATP9B",589,"ATP9B","ATP9B"
"SDHAF1",590,"SDHAF1","SDHAF1"
"APLP1",591,"APLP1","APLP1"
"PERP",592,"PERP","PERP"
"GP6",594,"GP6","GP6"
"BCL2",595,"BCL2","BCL2"
"GOPC",596,"GOPC","GOPC"
"NFKBID",597,"NFKBID","NFKBID"
"MBP",598,"MBP","MBP"
"HEBP2",599,"HEBP2","HEBP2"
"KLK11",600,"KLK11","KLK11"
"NCR1",601,"NCR1","NCR1"
"PHLPP1",602,"PHLPP1","PHLPP1"
"KLF9",603,"KLF9","KLF9"
"HCST",604,"HCST","HCST"
"AKAP7",607,"AKAP7","AKAP7"
"ZNF236",608,"ZNF236","ZNF236"
"NUS1",610,"NUS1","NUS1"
"LENG8",612,"LENG8","LENG8"
"FAM133B",615,"FAM133B","FAM133B"
"ARHGAP33",616,"ARHGAP33","ARHGAP33"
"ZNF782",617,"ZNF782","ZNF782"
"TLE1",618,"TLE1","TLE1"
"CEP85L",619,"CEP85L","CEP85L"
"TTYH1",620,"TTYH1","TTYH1"
"CCDC28A",621,"CCDC28A","CCDC28A"
"ZNF516",623,"ZNF516","ZNF516"
"PTAR1",624,"PTAR1","PTAR1"
"ZNF510",625,"ZNF510","ZNF510"
"TSHZ1",628,"TSHZ1","TSHZ1"
"PRXL2C",629,"PRXL2C","PRXL2C"
"APBA1",630,"APBA1","APBA1"
"REPS1",631,"REPS1","REPS1"
"ZADH2",632,"ZADH2","PTGR3"
"ZNF407",633,"ZNF407","ZNF407"
"TLE4",634,"TLE4","TLE4"
"PLN",635,"PLN","PLN"
"MCM9",636,"MCM9","MCM9"
"PSAT1",638,"PSAT1","PSAT1"
"ASF1A",639,"ASF1A","ASF1A"
"FAM189A2",640,"FAM189A2","ENTREP1"
"FAM184A",643,"FAM184A","FAM184A"
"TJP2",645,"TJP2","TJP2"
"CNDP2",646,"CNDP2","CNDP2"
"CEP78",647,"CEP78","CEP78"
"KLK4",648,"KLK4","KLK4"
"TSEN34",650,"TSEN34","TSEN34"
"HABP4",651,"HABP4","HABP4"
"MBOAT7",652,"MBOAT7","MBOAT7"
"CYB5A",653,"CYB5A","CYB5A"
"HSPB6",654,"HSPB6","HSPB6"
"LIN37",655,"LIN37","LIN37"
"ZNF367",656,"ZNF367","ZNF367"
"MAN1A1",657,"MAN1A1","MAN1A1"
"PSENEN",658,"PSENEN","PSENEN"
"SLC35D2",659,"SLC35D2","SLC35D2"
"TMC4",660,"TMC4","TMC4"
"U2AF1L4",661,"U2AF1L4","U2AF1L4"
"LENG1",663,"LENG1","LENG1"
"TIMM21",664,"TIMM21","TIMM21"
"CNOT3",665,"CNOT3","CNOT3"
"FBXO15",666,"FBXO15","FBXO15"
"IGFLR1",667,"IGFLR1","IGFLR1"
"PRPF31",669,"PRPF31","PRPF31"
"KMT2B",670,"KMT2B","KMT2B"
"FXN",673,"FXN","FXN"
"OSCAR",674,"OSCAR","OSCAR"
"PIP5K1B",675,"PIP5K1B","PIP5K1B"
"ZBTB32",676,"ZBTB32","ZBTB32"
"CLEC11A",677,"CLEC11A","CLEC11A"
"ERCC6L2",679,"ERCC6L2","ERCC6L2"
"SHANK1",680,"SHANK1","SHANK1"
"ABRACL",681,"ABRACL","ABRACL"
"SYT3",683,"SYT3","SYT3"
"HECA",684,"HECA","HECA"
"PTCH1",685,"PTCH1","PTCH1"
"TXLNB",688,"TXLNB","TXLNB"
"ASPDH",689,"ASPDH","ASPDH"
"CITED2",691,"CITED2","CITED2"
"VSTM1",692,"VSTM1","VSTM1"
"ZCCHC2",693,"ZCCHC2","ZCCHC2"
"NMBR",694,"NMBR","NMBR"
"TNFRSF11A",695,"TNFRSF11A","TNFRSF11A"
"VTA1",696,"VTA1","VTA1"
"EMC10",697,"EMC10","EMC10"
"HAUS5",698,"HAUS5","HAUS5"
"RELCH",699,"RELCH","RELCH"
"MYBPC2",701,"MYBPC2","MYBPC2"
"ADGRG6",702,"ADGRG6","ADGRG6"
"TMEM147",704,"TMEM147","TMEM147"
"NAPSA",705,"NAPSA","NAPSA"
"NR1H2",706,"NR1H2","NR1H2"
"HIVEP2",710,"HIVEP2","HIVEP2"
"FANCC",711,"FANCC","FANCC"
"TBC1D32",712,"TBC1D32","TBC1D32"
"AIG1",713,"AIG1","AIG1"
"AOPEP",714,"AOPEP","AOPEP"
"FBP1",716,"FBP1","FBP1"
"ADAT2",717,"ADAT2","ADAT2"
"PEX3",719,"PEX3","PEX3"
"FUCA2",720,"FUCA2","FUCA2"
"PHACTR2",722,"PHACTR2","PHACTR2"
"ZNF473",724,"ZNF473","ZNF473"
"SERINC1",725,"SERINC1","SERINC1"
"VRK3",726,"VRK3","VRK3"
"HSF2",727,"HSF2","HSF2"
"FFAR2",728,"FFAR2","FFAR2"
"FBP2",730,"FBP2","FBP2"
"GNAQ",732,"GNAQ","GNAQ"
"DOCK8",735,"DOCK8","DOCK8"
"IL4I1",736,"IL4I1","IL4I1"
"TBC1D17",739,"TBC1D17","TBC1D17"
"DAPK1",741,"DAPK1","DAPK1"
"AKT1S1",742,"AKT1S1","AKT1S1"
"RPS5",746,"RPS5","RPS5"
"PNKP",747,"PNKP","PNKP"
"KANK1",748,"KANK1","KANK1"
"ZNF331",749,"ZNF331","ZNF331"
"PLAGL1",750,"PLAGL1","PLAGL1"
"SHKBP1",751,"SHKBP1","SHKBP1"
"VPS13A",753,"VPS13A","VPS13A"
"SF3B5",755,"SF3B5","SF3B5"
"STX11",757,"STX11","STX11"
"UTRN",760,"UTRN","UTRN"
"ZSCAN22",761,"ZSCAN22","ZSCAN22"
"ZNF8",762,"ZNF8","ZNF8"
"PTOV1",763,"PTOV1","PTOV1"
"TUT7",765,"TUT7","TUT7"
"SMARCA2",766,"SMARCA2","SMARCA2"
"ZNF274",767,"ZNF274","ZNF274"
"BLVRB",768,"BLVRB","BLVRB"
"MED25",769,"MED25","MED25"
"PIGN",771,"PIGN","PIGN"
"SERTAD3",772,"SERTAD3","SERTAD3"
"SERTAD1",773,"SERTAD1","SERTAD1"
"ZSCAN18",774,"ZSCAN18","ZSCAN18"
"HAMP",775,"HAMP","HAMP"
"ZNF135",776,"ZNF135","ZNF135"
"C9orf153",777,"C9orf153","C9orf153"
"ZSCAN1",778,"ZSCAN1","ZSCAN1"
"PLD3",779,"PLD3","PLD3"
"USF2",780,"USF2","USF2"
"ZNF606",781,"ZNF606","ZNF606"
"NKAIN2",783,"NKAIN2","NKAIN2"
"GOLM1",784,"GOLM1","GOLM1"
"PRUNE2",785,"PRUNE2","PRUNE2"
"LSR",786,"LSR","LSR"
"C1H19orf47",787,"C1H19orf47","C19orf47"
"NAA35",788,"NAA35","NAA35"
"RNF217",789,"RNF217","RNF217"
"AKT2",791,"AKT2","AKT2"
"TSKS",793,"TSKS","TSKS"
"FBXO30",795,"FBXO30","FBXO30"
"HDDC2",796,"HDDC2","HDDC2"
"VLDLR",797,"VLDLR","VLDLR"
"CCNP",798,"CCNP","CCNP"
"NCOA7",800,"NCOA7","NCOA7"
"SHPRH",801,"SHPRH","SHPRH"
"RAB27B",803,"RAB27B","RAB27B"
"PUM3",804,"PUM3","PUM3"
"MAP3K10",806,"MAP3K10","MAP3K10"
"AP2A1",808,"AP2A1","AP2A1"
"RFX3",811,"RFX3","RFX3"
"RFK",812,"RFK","RFK"
"PSMC4",815,"PSMC4","PSMC4"
"NOP53",816,"NOP53","NOP53"
"ZNF550",817,"ZNF550","ZNF550"
"C1H18orf54",818,"C1H18orf54","C18orf54"
"TRMT11",820,"TRMT11","TRMT11"
"EHD2",821,"EHD2","EHD2"
"NAPA",824,"NAPA","NAPA"
"STARD6",826,"STARD6","STARD6"
"POLI",828,"POLI","POLI"
"CENPW",829,"CENPW","CENPW"
"MBD2",831,"MBD2","MBD2"
"ZNF772",832,"ZNF772","ZNF772"
"ZNF304",836,"ZNF304","ZNF304"
"OSTF1",838,"OSTF1","OSTF1"
"PMAIP1",839,"PMAIP1","PMAIP1"
"NMRK1",840,"NMRK1","NMRK1"
"CARNMT1",841,"CARNMT1","CARNMT1"
"C1H9orf40",842,"C1H9orf40","C9orf40"
"AURKC",843,"AURKC","AURKC"
"FXYD1",844,"FXYD1","FXYD1"
"FBL",845,"FBL","FBL"
"PEG3",846,"PEG3","PEG3"
"DHX34",847,"DHX34","DHX34"
"DYRK1B",848,"DYRK1B","DYRK1B"
"CCBE1",849,"CCBE1","CCBE1"
"KPTN",850,"KPTN","KPTN"
"RAB32",851,"RAB32","RAB32"
"LGI4",852,"LGI4","LGI4"
"LMAN1",853,"LMAN1","LMAN1"
"ADM5",854,"ADM5","ADM5"
"PRMT1",856,"PRMT1","PRMT1"
"C5AR2",857,"C5AR2","C5AR2"
"C5AR1",859,"C5AR1","C5AR1"
"PLPP6",860,"PLPP6","PLPP6"
"CDC37L1",861,"CDC37L1","CDC37L1"
"TIMM50",864,"TIMM50","TIMM50"
"CCDC9",866,"CCDC9","CCDC9"
"RORB",868,"RORB","RORB"
"IRF3",869,"IRF3","IRF3"
"MEX3C",871,"MEX3C","MEX3C"
"ZNF180",872,"ZNF180","ZNF180"
"SYTL3",874,"SYTL3","SYTL3"
"BBC3",876,"BBC3","BBC3"
"PVR",877,"PVR","PVR"
